Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI106,ISI106,Amita Technologies,Nickel rich,NMC,Pouch,7799130N,Active,Prismatic,2000,,388,181,10.3,4.2,3.7,2.8,,30.9,1,218,,10.3,,1,,130,8.2,98,,N/A,,,,Datasheet als Screenshot Webseite,CCCV,,
ISI107,ISI107,Amita Technologies,Nickel rich,NCA,Pouch,8399130NE,Active,Prismatic,700,,521,235,14.5,4.2,3.7,2.8,,14.5,1,235,,14.5,,1,,130,8.3,99,,N/A,,,,Datasheet als Screenshot Webseite,CCCV,,
ISI108,ISI108,Amita Technologies,Nickel rich,NMC,Pouch,7799130ND,Active,Prismatic,2000,,440,202,11.7,4.2,3.7,2.8,,35.1,1,221,,11.7,,1,,130,8.1,98,,N/A,,,,,CCCV,,
ISI109,ISI109,Amita Technologies,Lithium Iron Phosphate,LFP,Pouch,7799130P,Active,Prismatic,3000,,266,135,7.5,3.65,3.2,2.5,,37.5,,195,,15,,,,130,7.9,98,,N/A,,,,,CCCV,,
ISI110,ISI110,Amita Technologies,Nickel rich,NMC,Pouch,9299130N,Active,Prismatic,2000,,404,184,13,4.2,3.7,2.8,,39,1,260,,13,,1,,130,9.05,98,,N/A,,,,,CCCV,,
ISI111,ISI111,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7851119F,Active,Prismatic,2000,,,,3.5,3.65,3.2,2,0.7,7,0.5,87.5,,3.5,0.73,0.5,0.33,120,8.1,51.5,,2015,,,,no data spec. energy,CCCV,,
ISI112,ISI112,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP1167220F,Active,Prismatic,2000,,,,11,3.65,3.2,2,2.2,22,0.5,275,,11,0.73,0.5,0.33,224,11.3,67.5,,2016,,,13.10.2016,no data spec. energy,CCCV,,100%
ISI113,ISI113,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7568130F,Active,Prismatic,2000,,,,5,3.65,3.2,2,1,10,0.5,125,,5,0.73,0.5,0.33,131,7.8,68.5,,2015,,,18.09.2015,no data spec. energy,CCCV,,100%
ISI114,ISI114,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP9590120F,Active,Prismatic,2000,,,,8.5,3.65,3.2,2,1.7,17,0.5,170,,8.5,0.73,0.5,0.33,121,9.8,90.5,,2018,,,30.06.2018,no data spec. energy,CCCV,,100%
ISI115,ISI115,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP60100100F,Active,Prismatic,2000,,,,4.5,3.65,3.2,2,0.9,9,0.5,112.5,,4.5,0.73,0.5,0.33,101,6.3,100.5,,2015,,,18.09.2015,no data spec. energy,CCCV,,100%
ISI116,ISI116,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP90100160F,Active,Prismatic,2000,,,,10,3.65,3.2,2,2,20,0.5,250,,10,0.73,0.5,0.33,166,9.5,101,,2017,,,18.07.2017,no data spec. energy,CCCV,,100%
ISI117,ISI117,Eemb Co,Lithium Iron Phosphate,LFP,Prismatic,LP7851119F,Active,Prismatic,2000,,,,7,3.65,3.2,2,1.4,14,0.5,175,,7,0.73,0.5,0.33,123,7.8,103.5,,2014,,,10.06.2015,no data spec. energy,CCCV,,100%
ISI118,ISI118,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 32770,Active,Prismatic,2000,80,343,134,55,4.1,3.7,3,11,440,0.5,1680,,27.5,11,0.5,,141,34,137.7,,2016,,,,,CCCV,,
ISI119,ISI119,BMZ / Sony,Nickel rich,NMC 811,Cylindrical,BMZ 21700 50EL,Active,Cyl,1000,90,,257,5,4.2,3.6,2.5,1,14,0.33,68.5,,2.38,1.45,0.33,,,70.15,,21.1,2018,,,,,CCCV,,
ISI120,ISI120,Zenlabs / Envia,Nickel rich,NMC 811,Pouch,ENV 11.6 Ah,Active,Prismatic,800,80,850,340,12,4.2,3.45,2.5,2.4,60,1,121,,12,2.4,1,,145,6,64,,2019,,,12.06.2019,,CCCV,,
ISI121,ISI121,Zenlabs / Envia,Nickel rich,NMC,Pouch,ENV 50.4 Ah,Active,Prismatic,1000,80,640,300,51,4.3,3.46,2.5,10.2,255,1,592,,51,10.2,1,,320,7,102,,2019,,,,,CCCV,,
ISI122,ISI122,Yoku Energy (Shenzhen) Co,,,Pouch,2895129,Active,Prismatic,800,80,,,4.42,4.35,3.85,2.5,1,8.8,0.5,79,,4.4,1,0.33,,129,2.8,95,,,(),,,,CCCV,,
ISI123,ISI123,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF10573103,Active,Prismatic,3500,80,,,106.5,3.65,3.2,2.5,53.25,319.5,1,1980,,106.5,53.25,1,,200.5,36.7,130.3,,2017,,,17.10.2017,,CCCV,0.05,
ISI124,ISI124,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF90K,Active,Prismatic,3500,80,318,147,91.5,3.65,3.2,2.5,265,681,1,1990,,91.5,45.75,1,,195.3,36.2,130.1,,,,,,,CCCV,,
ISI125,ISI125,BMZ / TerraE,Nickel rich,NCA,Cylindrical,INR 21700 50 E,Active,Cyl,800,80,727,264,5,4.2,3.6,2.75,1,15,1,72,,3.5,0.2,0.5,,,70.9,,21.7,2021,,,24.09.2021,,CCCV,0.02,
ISI126,ISI126,SKI,Nickel rich,,Pouch,SKI Kia Niro,Active,Prismatic,1000,80,607,257,60,4.35,3.6,2.75,30,120,1,899.3,,60,30,1,,300,15,108.5,,2019,,,,,CCCV,,
ISI127,ISI127,CALB,Nickel rich,NMC,Prismatic,L148N50B,Active,Prismatic,2000,80,,212,50,4.35,3.66,2.75,25,50,1,861,,50,25,1,,148,26.5,97.5,,2019,,,102.019,,CCCV,,80%
ISI128,ISI128,CALB,Lithium Iron Phosphate,LFP,Prismatic,L135F72 (CAM72),Active,Prismatic,2000,80,,132,72,3.65,3.2,2.5,36,72,1,1780,,72,36,1,,215,30,135,,2019,,,102.019,,CCCV,,80%
ISI129,ISI129,CALB,Lithium Iron Phosphate,LFP,Prismatic,L160F100B,Active,Prismatic,3000,80,,160,100,3.65,3.2,2.5,50,100,1,1970,,100,50,1,,160,49.9,116,,2019,,,102.019,,CCCV,,80%
